Date,Exercise,Muscle_group,Sets,Reps,Weight,Duration,Note,Total_volume
11/24/2022,Dips,Triceps,2,13,,,,0
11/24/2022,Dips,Triceps,3,12,,,,0
11/24/2022,Chin Up,Biceps,1,8,,,,0
11/24/2022,Chin Up,Biceps,2,3,,,,0
11/25/2022,Pull Up,Back,1,5,,,,0
11/25/2022,Pull Up,Back,2,8,,,,0
11/25/2022,Chin Up,Biceps,1,5,,,,0
11/25/2022,Chin Up,Biceps,2,3,,,,0
11/25/2022,Dips,Triceps,1,10,,,,0
11/25/2022,Dips,Triceps,2,10,,,,0
11/25/2022,Dips,Triceps,3,10,,,,0
11/25/2022,Dumbbell Bench Press,Chest,1,10,30,,,300
11/25/2022,Dumbbell Bench Press,Chest,2,10,45,,,450
11/25/2022,Dumbbell Bench Press,Chest,3,10,45,,,450
11/25/2022,Dumbbell Bench Press,Chest,4,8,50,,,400
11/25/2022,Dumbbell Incline Bench Press,Chest,1,10,30,,,300
11/25/2022,Dumbbell Incline Bench Press,Chest,2,10,30,,,300
11/25/2022,Dumbbell Incline Bench Press,Chest,3,10,45,,,450
11/25/2022,Dumbbell Incline Bench Press,Chest,4,8,45,,,360
11/25/2022,Dumbbell Shoulder Press,Shoulders,1,10,30,,,300
11/25/2022,Dumbbell Shoulder Press,Shoulders,2,10,30,,,300
11/25/2022,Dumbbell Shoulder Press,Shoulders,3,10,40,,,400
11/25/2022,Dumbbell Shoulder Press,Shoulders,4,10,40,,,400
11/25/2022,Single Arm Tricep Pushdown / Extension,Triceps,1,10,12.5,,,125
11/25/2022,Single Arm Tricep Pushdown / Extension,Triceps,2,10,12.5,,,125
11/25/2022,Single Arm Tricep Pushdown / Extension,Triceps,3,10,15,,,150
11/25/2022,Dumbbell Overhead Triceps Extension,Triceps,1,10,30,,,300
11/25/2022,Dumbbell Overhead Triceps Extension,Triceps,2,10,30,,,300
11/25/2022,Dumbbell Overhead Triceps Extension,Triceps,3,10,30,,,300
11/26/2022,Bodyweight,Weight,,,128.1,,,0
11/26/2022,Pull Up,Back,1,8,,,,0
11/26/2022,Pull Up,Back,2,5,,,,0
11/26/2022,Pull Up,Back,3,4,,,,0
11/26/2022,Lat Pull-Down,Back,1,12,55,,,660
11/26/2022,Lat Pull-Down,Back,2,12,70,,,840
11/26/2022,Lat Pull-Down,Back,3,10,75,,,750
11/26/2022,Lat Pull-Down,Back,4,10,85,,,850
11/26/2022,Lat Pull-Down,Back,5,5,100,,,500
11/26/2022,Lat Pull-Down,Back,5,5,85,,,425
11/26/2022,Seated Cable Row (V Handle),Back,1,12,40,,,480
11/26/2022,Seated Cable Row (V Handle),Back,2,12,70,,,840
11/26/2022,Seated Cable Row (V Handle),Back,3,10,85,,,850
11/26/2022,Seated Cable Row (V Handle),Back,4,8,100,,,800
11/26/2022,Seated Cable Row (V Handle),Back,5,10,85,,,850
11/26/2022,Machine Rear Delt (Reverse) Fly,Back,1,10,40,,,400
11/26/2022,Machine Rear Delt (Reverse) Fly,Back,2,10,40,,,400
11/26/2022,Machine Rear Delt (Reverse) Fly,Back,3,10,40,,,400
11/26/2022,Machine Rear Delt (Reverse) Fly,Back,4,10,45,,,450
11/26/2022,Machine Rear Delt (Reverse) Fly,Back,5,10,50,,,500
11/26/2022,Dumbbell Shrug,Back,1,10,30,,,300
11/26/2022,Dumbbell Shrug,Back,2,10,40,,,400
11/26/2022,Dumbbell Shrug,Back,3,10,40,,,400
11/26/2022,Dumbbell Shrug,Back,4,10,40,,,400
11/26/2022,MTS Row,Back,1,10,20,,,200
11/26/2022,MTS Row,Back,2,10,30,,,300
11/26/2022,MTS Row,Back,3,10,30,,,300
11/26/2022,MTS Row,Back,4,10,40,,,400
11/26/2022,MTS Row,Back,5,10,50,,,500
11/26/2022,MTS Front Pull-Down,Back,1,10,30,,,300
11/26/2022,MTS Front Pull-Down,Back,2,10,30,,,300
11/26/2022,MTS Front Pull-Down,Back,3,10,40,,,400
11/26/2022,MTS Front Pull-Down,Back,4,10,50,,,500
11/26/2022,Ez Barbell Bicep Curl,Biceps,1,10,30,,,300
11/26/2022,Ez Barbell Bicep Curl,Biceps,2,10,30,,,300
11/26/2022,Ez Barbell Bicep Curl,Biceps,3,10,30,,,300
11/26/2022,Bicep Curl,Biceps,1,10,10,,,100
11/26/2022,Bicep Curl,Biceps,2,10,15,,,150
11/26/2022,Bicep Curl,Biceps,3,10,20,,,200
11/26/2022,Hammer Curl,Biceps,1,10,10,,,100
11/26/2022,Hammer Curl,Biceps,2,10,15,,,150
11/26/2022,Hammer Curl,Biceps,3,10,20,,,200
11/27/2022,Bodyweight,Weight,,,127.1,,,0
11/27/2022,Pull Up,Back,1,8,,,,0
11/27/2022,Pull Up,Back,2,5,,,,0
11/27/2022,Chin Up,Biceps,1,5,,,,0
11/27/2022,Dips,Triceps,1,10,,,,0
11/27/2022,Dips,Triceps,2,10,,,,0
11/27/2022,Dips,Triceps,3,10,,,,0
11/27/2022,Dumbbell Shoulder Press,Shoulders,1,10,35,,,350
11/27/2022,Dumbbell Shoulder Press,Shoulders,2,10,35,,,350
11/27/2022,Dumbbell Shoulder Press,Shoulders,3,10,45,,,450
11/27/2022,Dumbbell Shoulder Press,Shoulders,4,8,45,,,360
11/27/2022,Dumbbell Shoulder Press,Shoulders,5,10,35,,,350
11/27/2022,Dumbbell Shoulder Press,Shoulders,6,10,35,,,350
11/27/2022,Dumbbell Shrug,Back,1,10,35,,,350
11/27/2022,Dumbbell Shrug,Back,2,10,45,,,450
11/27/2022,Dumbbell Shrug,Back,3,10,45,,,450
11/27/2022,Dumbbell Shrug,Back,4,10,35,,,350
11/27/2022,Dumbbell Shrug,Back,5,10,35,,,350
11/27/2022,Lat Raise,Shoulders,1,10,15,,,150
11/27/2022,Lat Raise,Shoulders,2,10,15,,,150
11/27/2022,Lat Raise,Shoulders,3,10,20,,,200
11/27/2022,Lat Raise,Shoulders,4,5,20,,,100
11/27/2022,Front Raise,Shoulders,1,10,15,,,150
11/27/2022,Front Raise,Shoulders,2,10,15,,,150
11/27/2022,Front Raise,Shoulders,3,10,20,,,200
11/27/2022,Front Raise,Shoulders,4,5,20,,,100
11/27/2022,Dumbbell Overhead Triceps Extension,Triceps,1,10,35,,,350
11/27/2022,Dumbbell Overhead Triceps Extension,Triceps,2,10,35,,,350
11/27/2022,Dumbbell Overhead Triceps Extension,Triceps,3,10,35,,,350
11/27/2022,Push Up,Chest,1,10,,,Parallette Push-Up,0
11/27/2022,Push Up,Chest,2,10,,,Parallette Push-Up,0
11/27/2022,Push Up,Chest,3,10,,,Parallette Push-Up,0
11/27/2022,Ab Crunch,Abs,1,20,,,,0
11/27/2022,Ab Crunch,Abs,2,15,,,,0
11/27/2022,Flutter Kicks,Abs,1,20,,,,0
11/28/2022,Bodyweight,Weight,,,128,,,0
11/29/2022,Pull Up,Back,1,8,,,,0
11/29/2022,Pull Up,Back,2,5,,,,0
11/29/2022,Pull Up,Back,3,5,,,,0
11/29/2022,Chin Up,Biceps,1,8,,,,0
11/29/2022,Chin Up,Biceps,2,5,,,,0
11/29/2022,Barbell T-Bar Row,Back,1,10,25,,,250
11/29/2022,Barbell T-Bar Row,Back,2,10,35,,,350
11/29/2022,Barbell T-Bar Row,Back,3,10,45,,,450
11/29/2022,Barbell T-Bar Row,Back,4,10,70,,,700
11/29/2022,Barbell T-Bar Row,Back,5,8,80,,,640
11/29/2022,Barbell T-Bar Row,Back,6,6,105,,,630
11/29/2022,Lat Pull-Down,Back,1,10,90,,,900
11/29/2022,Lat Pull-Down,Back,2,10,100,,,1000
11/29/2022,Lat Pull-Down,Back,3,8,110,,,880
11/29/2022,Lat Pull-Down,Back,4,10,90,,,900
11/29/2022,Lat Pull-Down,Back,5,10,100,,,1000
11/29/2022,Underhand Barbell Row,Back,1,10,60,,,600
11/29/2022,Underhand Barbell Row,Back,2,10,60,,,600
11/29/2022,Underhand Barbell Row,Back,3,10,60,,,600
11/29/2022,Dumbbell Row,Back,1,10,40,,,400
11/29/2022,Dumbbell Row,Back,2,10,40,,,400
11/29/2022,Dumbbell Row,Back,3,10,40,,,400
11/29/2022,Dumbbell Row,Back,4,10,40,,,400
11/29/2022,Dips,Triceps,1,10,,,,0
11/29/2022,Dips,Triceps,2,10,,,,0
11/29/2022,Dips,Triceps,3,10,,,,0
11/29/2022,Dips,Triceps,4,8,,,,0
11/29/2022,Ab Crunch,Abs,1,10,,,,0
11/29/2022,Ab Crunch,Abs,2,10,,,,0
11/29/2022,Sit-Up,Abs,1,10,,,,0
11/29/2022,Sit-Up,Abs,2,10,,,,0
11/29/2022,Flutter Kicks,Abs,1,10,,,,0
11/29/2022,Flutter Kicks,Abs,2,10,,,,0
11/29/2022,Flutter Kicks,Abs,3,10,,,,0
11/29/2022,Flutter Kicks,Abs,4,10,,,,0
11/29/2022,Plank,Abs,1,1,,0.0006944444444,,0
11/30/2022,Chin Up,Biceps,1,8,,,,0
11/30/2022,Chin Up,Biceps,2,6,,,,0
11/30/2022,Dips,Triceps,1,17,,,,0
11/30/2022,Dips,Triceps,2,13,,,,0
11/30/2022,Dips,Triceps,3,10,,,,0
11/30/2022,Pull Up,Back,1,5,,,,0
11/30/2022,Smith Machine Squat,Quadriceps,1,8,40,,smith machine bar weight = 20 lb,320
11/30/2022,Smith Machine Squat,Quadriceps,2,10,70,,smith machine bar weight = 20 lb,700
11/30/2022,Smith Machine Squat,Quadriceps,3,13,70,,smith machine bar weight = 20 lb,910
11/30/2022,Smith Machine Squat,Quadriceps,4,10,110,,smith machine bar weight = 20 lb,1100
11/30/2022,Leg Extension,Quadriceps,1,10,30,,,300
11/30/2022,Leg Extension,Quadriceps,2,10,60,,,600
11/30/2022,Leg Extension,Quadriceps,3,10,40,,single leg,400
11/30/2022,Leg Extension,Quadriceps,4,10,60,,,600
11/30/2022,Leg Curl,Glutes_Hamstrings,1,10,30,,,300
11/30/2022,Leg Curl,Glutes_Hamstrings,2,10,30,,,300
11/30/2022,Leg Curl,Glutes_Hamstrings,3,8,40,,,320
11/30/2022,Leg Curl,Glutes_Hamstrings,3,8,30,,,240
11/30/2022,Leg Curl,Glutes_Hamstrings,4,13,30,,,390
11/30/2022,Machine Seated Leg Press,Quadriceps,1,13,60,,,780
11/30/2022,Machine Seated Leg Press,Quadriceps,2,22,100,,,2200
11/30/2022,Machine Seated Leg Press,Quadriceps,3,10,120,,,1200
11/30/2022,Machine Seated Leg Press,Quadriceps,4,10,80,,,800
12/1/2022,Chin Up,Biceps,1,8,,,,0
12/1/2022,Chin Up,Biceps,2,5,25,,,125
12/1/2022,Pull Up,Back,1,6,,,,0
12/1/2022,Pull Up,Back,2,4,25,,,100
12/1/2022,Pull Up,Back,3,5,10,,,50
12/1/2022,Dips,Triceps,1,10,10,,,100
12/1/2022,Dips,Triceps,2,10,25,,,250
12/1/2022,Dips,Triceps,3,10,25,,,250
12/1/2022,Dips,Triceps,4,10,10,,,100
12/1/2022,Dips,Triceps,5,10,,,,0
12/1/2022,Barbell Squat,Quadriceps,1,8,135,,,1080
12/1/2022,Barbell Squat,Quadriceps,2,5,135,,,675
12/1/2022,Barbell Squat,Quadriceps,3,8,135,,,1080
12/1/2022,Barbell Squat,Quadriceps,4,6,135,,,810
12/1/2022,Dumbbell Bulgarian Split-Squat,Quadriceps,1,10,,,,0
12/1/2022,Dumbbell Bulgarian Split-Squat,Quadriceps,2,10,35,,,350
12/1/2022,Dumbbell Bulgarian Split-Squat,Quadriceps,3,10,35,,,350
12/1/2022,Dumbbell Bulgarian Split-Squat,Quadriceps,4,10,,,,0
12/1/2022,Flutter Kicks,Abs,1,20,,,,0
12/1/2022,Flutter Kicks,Abs,2,20,,,,0
12/1/2022,Sit-Up,Abs,1,10,,,,0
12/1/2022,Sit-Up,Abs,2,10,,,,0
12/1/2022,Ab Crunch,Abs,1,10,,,,0
12/1/2022,Ab Crunch,Abs,2,10,,,,0
12/3/2022,Bodyweight,Weight,,,125.1,,,0
12/4/2022,Pull Up,Back,1,8,,,,0
12/4/2022,Pull Up,Back,2,7,,,,0
12/4/2022,Pull Up,Back,3,5,,,,0
12/4/2022,Dips,Triceps,1,16,,,,0
12/4/2022,Dips,Triceps,2,12,,,,0
12/4/2022,Dips,Triceps,3,10,,,,0
12/4/2022,Chin Up,Biceps,1,8,,,,0
12/4/2022,Chin Up,Biceps,2,5,,,,0
12/4/2022,Dumbbell Bench Press,Chest,1,10,45,,,450
12/4/2022,Dumbbell Bench Press,Chest,2,10,45,,,450
12/4/2022,Dumbbell Bench Press,Chest,3,12,50,,,600
12/4/2022,Dumbbell Bench Press,Chest,4,10,50,,,500
12/4/2022,Dumbbell Bench Press,Chest,5,12,55,,,660
12/4/2022,Dumbbell Incline Bench Press,Chest,1,10,45,,,450
12/4/2022,Dumbbell Incline Bench Press,Chest,2,12,55,,,660
12/4/2022,Dumbbell Incline Bench Press,Chest,3,11,45,,,495
12/4/2022,Dumbbell Incline Bench Press,Chest,4,10,45,,,450
