Exercise,Muscle
Smith Machine Bench Press,Chest
Smith Machine Incline Bench Press,Chest
Smith Machine Decline Chest Press,Chest
Cable Chest Press (Seated),Chest
Cable Chest Press (Standing),Chest
Cable Incline Bench Press,Chest
Body Weight Push-Up,Chest
Body Weight Close Grip Push-Up,Chest
Body Weight Archer Push-Up,Chest
Body Weight One-Arm Push-Up,Chest
Body Weight Wide Grip Push-Up,Chest
Body Weight Pseudo Push-Up,Chest
Weighted Push-Up,Chest
Body Weight Incline Push-Up,Chest
Body Weight Incline Close Grip Push-Up,Chest
Body Weight Incline Pseudo Push-Up,Chest
Body Weight Incline Wide Grip Push-Up,Chest
Weighted Incline Push-Up,Chest
Body Weight Decline Push-Up,Chest
Weighted Decline Push-Up,Chest
Weighted Dip (Chest Variation),Chest
Body Weight Dip (Chest Variation),Chest
Machine Assisted Dip (Chest Variation),Chest
Dumbbell Flat Bench Fly,Chest
Dumbbell Incline Bench Fly,Chest
Dumbbell Decline Bench Fly,Chest
Machine Butterfly,Chest
Cable Crossover,Chest
Cable Crossover (Low Angle),Chest
Cable Crossover (High Angle),Chest
Cable Incline Bench Fly,Chest
Cable Flat Bench Fly,Chest
Machine Reverse Butterfly,Back
Barbell Bent Over Row,Back
Dumbbell Bent Over Row,Back
Barbell Incline Bench Row,Back
Dumbbell Incline Bench Row,Back
Dumbbell One-Arm Row,Back
Barbell Reverse Grip Bent Over,Back
Dumbbell Reverse Grip Bent Over,Back
Barbell Pendlay Row,Back
Barbell T-Bar Row,Back
Barbell One-Arm Row,Back
Smith Machine Bent Over Row,Back
Barbell Chest-Supported T-Bar Row,Back
Machine Chest Supported Row,Back
Cable Row (Seated),Back
Cable One-Arm Row (Seated),Back
Body Weight Inverted Row,Back
Machine Iso Row,Back
Machine Iso Row Close Grip,Back
Weighted Pull-Up,Back
Body Weight Pull-Up,Back
Machine Assisted Pull-Up,Back
Cable Wide-Grip Lat Pull-Down,Back
Cable Narrow-Grip Lat Pull-Down,Back
Cable Reverse-Grip Lat Pull-Down,Back
Machine Lat Pull-Down,Back
Cable V-Bar Lat Pull-Down,Back
Cable Straight-Arm Pull-Down,Back
Cable One-Arm Lat Pull-Down,Back
Machine Back Extension,Back
Body Weight Back Extension,Back
Barbell Shrug,Back
Dumbbell Shrug,Back
Machine Shrug,Back
Barbell Standing Shoulder Press,Shoulders
Dumbbell Standing Shoulder Press,Shoulders
Barbell Seated Shoulder Press,Shoulders
Dumbbell Seated Shoulder Press,Shoulders
Barbell Push Press,Shoulders
Dumbbell Standing One-Arm Press,Shoulders
Barbell One-Arm Linear Jammer,Shoulders
Dumbbell Arnold Press,Shoulders
Dumbbell Standing Arnold Press,Shoulders
Smith Machine Shoulder Press,Shoulders
Machine Shoulder Press,Shoulders
Cable Standing Shoulder Press (Standing),Shoulders
Cable Shoulder Press (Seated),Shoulders
Body Weight Pike Push-Up,Shoulders
Body Weight Handstand Push-Up,Shoulders
Barbell Front Raise,Shoulders
Dumbbell Front Raise,Shoulders
Plate Front Raise,Shoulders
Plate Lateral Raise,Shoulders
Dumbbell Side Lateral Raise,Shoulders
Dumbbell One-Arm Lateral Raise,Shoulders
Dumbbell Reverse Fly,Shoulders
Dumbbell Rear Delt Raise,Shoulders
Machine Reverse Fly,Shoulders
Machine Lateral Raise,Shoulders
Cable Front Raise,Shoulders
Cable Lateral Raise,Shoulders
Cable Rear Delt Fly,Shoulders
Cable Face Pull,Shoulders
Barbell Upright Row,Shoulders
Dumbbell Upright Row,Shoulders
Machine Upright Row,Shoulders
Cable Upright Row,Shoulders
Kettlebell Sit and Press,Shoulders
Barbell Close-Grip Bench Press,Triceps
Dumbbell Close-Grip Bench Press,Triceps
Barbell Flat Bench Triceps Extension,Triceps
Dumbbell Flat Bench Triceps Extension,Triceps
Cable Flat Bench Triceps Extension,Triceps
Barbell Incline Bench Triceps Extension,Triceps
Dumbbell Incline Bench Triceps Extension,Triceps
Cable Incline Bench Triceps Extension,Triceps
Barbell Decline Bench Triceps Extension,Triceps
Dumbbell Decline Bench Triceps Extension,Triceps
Cable Decline Bench Triceps Extension,Triceps
Barbell Overhead Triceps Extension,Triceps
Dumbbell Overhead Triceps Extension,Triceps
Cable Overhead Triceps Extension,Triceps
Dumbbell One-Arm Overhead Triceps Extension,Triceps
Cable One-Arm Overhead Triceps Extension,Triceps
Cable Triceps Kickback,Triceps
Dumbbell Triceps Kickback,Triceps
Dumbbell Bent Over Triceps Extension,Triceps
Smith Machine Close-Grip Bench Press,Triceps
Weighted Dips (Triceps Variation),Triceps
Body Weight Dips (Triceps Variation),Triceps
Machine Assisted Dips (Triceps Variation),Triceps
Machine Triceps Extension,Triceps
Cable Straight-Bar Triceps Push-Down,Triceps
Cable V-Bar Triceps Push-Down,Triceps
Cable Rope Triceps Push-Down,Triceps
Cable Reverse-Grip Triceps Push-Down,Triceps
Weighted Bench Dip,Triceps
Body Weight Bench Dip,Triceps
Barbell Regular-Grip Biceps Curl,Biceps
Ez Barbell Regular-Grip Biceps Curl,Biceps
Barbell Wide-Grip Biceps Curl,Biceps
Barbell Close-Grip Biceps Curl,Biceps
Barbell Preacher Biceps Curl,Biceps
Dumbbell Preacher Biceps Curl,Biceps
Dumbbell Waiter Biceps Curl,Biceps
Dumbbell Incline Bench Biceps Curl,Biceps
Cable Incline Bench Biceps Curl,Biceps
Barbell Reverse-Grip Biceps Curl,Biceps
Dumbbell Reverse-Grip Biceps Curl,Biceps
Dumbbell Reverse-Grip Biceps Curl,Biceps
Barbell Concentration Biceps Curl,Biceps
Dumbbell Concentration Biceps Curl,Biceps
Dumbbell Hammer Biceps Curl,Biceps
Dumbbell Alternate Biceps Curl,Biceps
Machine Preacher Biceps Curl,Biceps
Machine Biceps Curl,Biceps
Cable Overhead Curl,Biceps
Cable Rope Biceps Curl,Biceps
Dumbbell One-Arm Biceps Curl,Biceps
Upper Dumbbell Half Biceps Curl,Biceps
Bottom Dumbbell Half Biceps Curl,Biceps
Cable One-Arm Biceps Curl,Biceps
Weighted Chin-Up,Biceps
Body Weight Chin-Up,Biceps
Machine Assisted Chin-Up,Biceps
Cable Bar Biceps Curl,Biceps
Body Weight Ab Crunch,Abs
Machine Ab Crunch,Abs
Dumbbell Ab Twist,Abs
Barbell Plate Ab Twist,Abs
Body Weight Hanging Leg Raise,Abs
Weighted Hanging Leg Raise,Abs
Body Weight Plank,Abs
Weighted Plank,Abs
Flutter Kicks,Abs
Lying Leg Raise,Abs
Body Weight Sit-Up,Abs
Wall Sit,Other
Neck Curl,Other
Neck Extension,Other
Barbell Wrist Curl,Other
Dumbbell Wrist Curl,Other
